imputer,normalizer,tamer__detector,tamer__remediation,selector,balancer,classifier__max_features,classifier__penalty,_family,tamer__contamination,tamer__mad_threshold,classifier__learning_rate,classifier__max_depth,classifier__n_estimators,classifier__subsample,classifier__colsample_bytree,classifier__min_child_weight,classifier__min_child_samples,classifier__reg_alpha,classifier__reg_lambda,classifier__scale_pos_weight,classifier__num_leaves,classifier__min_samples_leaf,classifier__iterations,classifier__depth,classifier__l2_leaf_reg,classifier__C,classifier__estimator__xgb__learning_rate,classifier__estimator__xgb__max_depth,classifier__estimator__xgb__scale_pos_weight,mean_pr_auc,std_pr_auc,mean_roc_auc,std_roc_auc,range_pr_auc,cv_pr_auc,uncertainty_aware_score,brier_mean,recall_at_spec90_mean
KNNImputerWrapper(n_neighbors=5),RobustScalerNorm,statistical,none,SelectKBestFilter(k=40),FunctionSampler,absent,absent,xgb,0.10253249097422777,2.0616515329480842,0.12811883395165627,7.0,520.0,0.5157447544369816,0.7281654226114309,5.0,,0.001875667537279405,2.592150147150502,4.492720602425065,,,,,,,,,,0.23819714512894768,0.024319153975021303,0.681973224410048,0.011070979085592413,0.06399132418289324,0.10209674831264734,0.22603756814143702,,
InterpolateImputer,ZScoreNormalizationNorm,cluster,shrink,TreeBasedSelection,SMOTESampler(k_neighbors=3),absent,absent,xgb,0.07695857041115468,2.5048169486069805,0.11059819718254912,10.0,408.0,0.6098903387848325,0.9223466740180961,5.0,,0.010256674080621512,0.31101987571796014,5.751302779157073,,,,,,,,,,0.21305990270234115,0.017810626307745128,0.6658712871446302,0.018157764606638774,0.04872652668236263,0.08359445433816684,0.2041545895484686,,
KNNImputerWrapper(n_neighbors=5),ZScoreNormalizationNorm,cluster,percentile_clip,SelectKBestFilter(k=20),FunctionSampler,absent,absent,xgb,0.038439184149153656,3.9611504080806075,0.19814473949881192,9.0,454.0,0.6572831138187781,0.7988023444878705,1.0,,0.4367838739845351,0.32841544750842694,1.122372693457407,,,,,,,,,,0.219669480689419,0.018475340594003443,0.6674011445894182,0.009638216895803454,0.045451084215601956,0.08410517717809382,0.21043181039241726,,
ClassMeanImputer,RobustScalerNorm,statistical,mad_replace,TreeBasedSelection,SMOTESampler(k_neighbors=5),absent,absent,xgb,0.02293771814644766,3.3034232600081967,0.01383523739100153,11.0,149.0,0.6308770400566437,0.8028031579444971,11.0,,0.0936837817926844,9.55306811119122,1.903174708464571,,,,,,,,,,0.25092444599748764,0.012974207300004667,0.7060916496792212,0.01447160755935775,0.03661067987168615,0.051705632938348976,0.24443734234748532,,
KNNImputerWrapper(n_neighbors=5),ZScoreNormalizationNorm,cluster,shrink,TreeBasedSelection,SMOTESampler(k_neighbors=5),absent,absent,xgb,0.018007222024776552,3.2107459745466738,0.1283066573493522,4.0,643.0,0.6998960843504899,0.9100330953640803,37.0,,0.005183742053771797,0.788613609968078,8.289068455910225,,,,,,,,,,0.2107340577327061,0.016739117372550495,0.659894168751246,0.015925407089905492,0.04802306442873766,0.07943242564892998,0.20236449904643083,,
MeanImputer,ZScoreNormalizationNorm,cluster,cluster_local_median,SelectKBestFilter(k=20),SMOTESampler(k_neighbors=3),absent,absent,xgb,0.04778862175949263,3.6933486002366838,0.1398016943373809,2.0,306.0,0.6218412275413558,0.5956915042762547,4.0,,0.041635360994102553,6.415561349678921,1.0977440783244152,,,,,,,,,,0.19778619499820224,0.017476879239153524,0.661720884483228,0.01682418481277671,0.04752662557828091,0.08836248272692833,0.18904775537862548,,
MeanImputer,ZScoreNormalizationNorm,statistical,shrink,SelectKBestFilter(k=10),SMOTESampler(k_neighbors=3),absent,absent,xgb,0.02723153663176789,2.993186754430619,0.18658939091585364,3.0,684.0,0.9383780842654159,0.5890072292616695,42.0,,0.35765252756825155,1.4224226769453583,1.3283231881666249,,,,,,,,,,0.19722746944661657,0.01528313545023304,0.6396457394200904,0.017616327367421705,0.041972750883956855,0.07748989272698506,0.18958590172150006,,
InterpolateImputer,ZScoreNormalizationNorm,iforest,none,SelectKBestFilter(k=20),BorderlineSMOTESampler(k_neighbors=3),absent,absent,xgb,0.07020142435486583,3.362296376899126,0.21405208951446508,12.0,191.0,0.7187207953083312,0.5676580329006844,26.0,,0.05961792710097729,0.2476325874458895,1.3845217893338735,,,,,,,,,,0.20897115133794325,0.01573629843968815,0.6612360496633592,0.019658074546968548,0.04696759052392485,0.07530368827915283,0.20110300211809917,,
InterpolateImputer,RobustScalerNorm,iforest,none,SelectKBestFilter(k=30),FunctionSampler,absent,absent,xgb,0.02067466008710223,2.0115826933082444,0.27876973315901804,2.0,234.0,0.9174863178869463,0.8167952615979104,2.0,,0.0073449793812252594,0.366667650152589,3.145599601024727,,,,,,,,,,0.23896945429008287,0.01774772600014298,0.6861724338239865,0.013842542015164024,0.05283824803540599,0.07426775967190843,0.2300955912900114,,
MeanImputer,ZScoreNormalizationNorm,iforest,shrink,SelectKBestFilter(k=30),BorderlineSMOTESampler(k_neighbors=3),absent,absent,xgb,0.04933469724374686,2.1152545199232597,0.018812684609034364,10.0,218.0,0.6808663928090831,0.7719062280242643,1.0,,0.0015839572542094198,0.10988073785718838,1.2019501090746392,,,,,,,,,,0.23486818687748173,0.012710796634615438,0.6992838733411787,0.01903869457208983,0.0282700531273799,0.05411885195522877,0.228512788560174,,
